service,name,city,address,url
designmynight,Riverstation,bristol,,https://www.designmynight.com/bristol/restaurants/city-centre/riverstation
designmynight,The Bristol Stable,bristol,,https://www.designmynight.com/bristol/restaurants/harbourside/the-bristol-stable
designmynight,GBK Bristol,bristol,,https://www.designmynight.com/bristol/restaurants/city-centre/gbk-bristol
designmynight,Honest Burgers Bristol,bristol,,https://www.designmynight.com/bristol/restaurants/city-centre/honest-burgers
designmynight,No.4 Clifton Village,bristol,,https://www.designmynight.com/bristol/restaurants/clifton/no-4-clifton-village
designmynight,Mowgli,bristol,,https://www.designmynight.com/bristol/restaurants/city-centre/mowgli-bristol
designmynight,KIBOU Clifton,bristol,,https://www.designmynight.com/bristol/restaurants/clifton/kibou-clifton
designmynight,One Of Bristol's Favourite Michelin Star Restaurants Has Been Reborn,bristol,,https://www.designmynight.com/bristol/restaurants/city-centre/casa/new-bar-spy
designmynight,Starburst Cocktails & Drag Brunches: The UK's Sassiest Bar Is Heading To Bristol,bristol,,https://www.designmynight.com/bristol/bars/city-centre/tonight-josephine-bristol/new-bar-spy
designmynight,London's Instagrammable Party Bar Is Slinging Flaming Zombies And ABBA Brunches ,bristol,,https://www.designmynight.com/bristol/bars/city-centre/blame-gloria-bristol/new-bar-spy
designmynight,1.  Coyote Ugly,bristol,,https://www.designmynight.com/bristol/bars/harbourside/coyote-ugly-bristol
designmynight,2.  Flight Club,bristol,,https://www.designmynight.com/bristol/bars/city-centre/flight-club-bristol
designmynight,3.  The Juke Box Bars Bristol,bristol,,https://www.designmynight.com/bristol/bars/city-centre/the-juke-box-bars
designmynight,5.  OMG Bristol Bar,bristol,,https://www.designmynight.com/bristol/bars/city-centre/omg-bristol-bar
designmynight,2.  Mall Clifton Bristol,bristol,,https://www.designmynight.com/bristol/pubs/clifton/mall-clifton-bristol
designmynight,3.  Zerodegrees,bristol,,https://www.designmynight.com/bristol/bars/city-centre/zerodegrees
designmynight,4.  Kongs Of Kings Street,bristol,,https://www.designmynight.com/bristol/bars/city-centre/kongs-of-kings-street
designmynight,1.  The Bootlegger Bristol,bristol,,https://www.designmynight.com/bristol/bars/bishopston/the-bootlegger
designmynight,2.  Blame Gloria,bristol,,https://www.designmynight.com/bristol/bars/city-centre/blame-gloria-bristol
designmynight,3.  The Lost & Found,bristol,,https://www.designmynight.com/bristol/bars/clifton/the-lost-found-bristol
designmynight,5.  Steam Bristol,bristol,,https://www.designmynight.com/bristol/bars/clifton/steam-bristol
designmynight,CIRCUIT Bristol,bristol,,https://www.designmynight.com/bristol/clubs/harbourside/circuit
designmynight,Popworld Bristol,bristol,,https://www.designmynight.com/bristol/clubs/city-centre/popworld-bristol
